year,hires,terminations,net_change,net_change_percent
2000,37,3,34,91.89
2001,150,23,127,84.67
2002,133,18,115,86.47
2003,162,40,122,75.31
2004,158,27,131,82.91
2005,148,31,117,79.05
2006,147,28,119,80.95
2007,150,12,138,92.00
2008,147,19,128,87.07
2009,131,19,112,85.50
2010,135,18,117,86.67
2011,131,19,112,85.50
2012,140,14,126,90.00
2013,133,7,126,94.74
2014,130,10,120,92.31
2015,125,7,118,94.40
2016,157,9,148,94.27
2017,115,6,109,94.78
2018,126,5,121,96.03
2019,122,3,119,97.54
2020,129,1,128,99.22
